"p","subject_id","treatment_id","scenarios","choice","endowment","A"
73,"2016Kim003_7_1917","2016Kim003_7",4,1,16,0
74,"2016Kim003_7_1917","2016Kim003_7",5,1,16,0
75,"2016Kim003_7_1917","2016Kim003_7",6,1,16,0
76,"2016Kim003_7_1917","2016Kim003_7",7,1,16,0
77,"2016Kim003_7_1917","2016Kim003_7",8,1,16,0
78,"2016Kim003_7_1917","2016Kim003_7",9,1,16,0
79,"2016Kim003_7_1917","2016Kim003_7",10,1,16,0
80,"2016Kim003_7_1917","2016Kim003_7",11,1,16,0
81,"2016Kim003_7_1917","2016Kim003_7",12,1,16,0
82,"2016Kim003_7_1917","2016Kim003_7",13,1,16,0
83,"2016Kim003_7_1917","2016Kim003_7",14,1,16,0
84,"2016Kim003_7_1917","2016Kim003_7",15,1,16,0
85,"2016Kim003_7_1917","2016Kim003_7",16,1,16,0
86,"2016Kim003_7_1918","2016Kim003_7",0,1,16,0
87,"2016Kim003_7_1918","2016Kim003_7",1,1,16,1
88,"2016Kim003_7_1918","2016Kim003_7",2,1,16,0
89,"2016Kim003_7_1918","2016Kim003_7",3,1,16,0
90,"2016Kim003_7_1918","2016Kim003_7",4,1,16,0
91,"2016Kim003_7_1918","2016Kim003_7",5,1,16,0
92,"2016Kim003_7_1918","2016Kim003_7",6,1,16,0
93,"2016Kim003_7_1918","2016Kim003_7",7,1,16,0
94,"2016Kim003_7_1918","2016Kim003_7",8,1,16,0
95,"2016Kim003_7_1918","2016Kim003_7",9,1,16,0
96,"2016Kim003_7_1918","2016Kim003_7",10,1,16,0
97,"2016Kim003_7_1918","2016Kim003_7",11,1,16,0
98,"2016Kim003_7_1918","2016Kim003_7",12,1,16,0
99,"2016Kim003_7_1918","2016Kim003_7",13,1,16,0
100,"2016Kim003_7_1918","2016Kim003_7",14,1,16,0
101,"2016Kim003_7_1918","2016Kim003_7",15,1,16,0
102,"2016Kim003_7_1918","2016Kim003_7",16,1,16,0
103,"2016Kim003_7_1919","2016Kim003_7",0,2,16,0
104,"2016Kim003_7_1919","2016Kim003_7",1,2,16,0
105,"2016Kim003_7_1919","2016Kim003_7",2,2,16,1
106,"2016Kim003_7_1919","2016Kim003_7",3,2,16,0
107,"2016Kim003_7_1919","2016Kim003_7",4,2,16,0
108,"2016Kim003_7_1919","2016Kim003_7",5,2,16,0
109,"2016Kim003_7_1919","2016Kim003_7",6,2,16,0
110,"2016Kim003_7_1919","2016Kim003_7",7,2,16,0
111,"2016Kim003_7_1919","2016Kim003_7",8,2,16,0
112,"2016Kim003_7_1919","2016Kim003_7",9,2,16,0
113,"2016Kim003_7_1919","2016Kim003_7",10,2,16,0
114,"2016Kim003_7_1919","2016Kim003_7",11,2,16,0
115,"2016Kim003_7_1919","2016Kim003_7",12,2,16,0
116,"2016Kim003_7_1919","2016Kim003_7",13,2,16,0
117,"2016Kim003_7_1919","2016Kim003_7",14,2,16,0
118,"2016Kim003_7_1919","2016Kim003_7",15,2,16,0
119,"2016Kim003_7_1919","2016Kim003_7",16,2,16,0
120,"2016Kim003_7_1920","2016Kim003_7",0,6,16,0
121,"2016Kim003_7_1920","2016Kim003_7",1,6,16,0
122,"2016Kim003_7_1920","2016Kim003_7",2,6,16,0
123,"2016Kim003_7_1920","2016Kim003_7",3,6,16,0
124,"2016Kim003_7_1920","2016Kim003_7",4,6,16,0
125,"2016Kim003_7_1920","2016Kim003_7",5,6,16,0
126,"2016Kim003_7_1920","2016Kim003_7",6,6,16,1
127,"2016Kim003_7_1920","2016Kim003_7",7,6,16,0
128,"2016Kim003_7_1920","2016Kim003_7",8,6,16,0
129,"2016Kim003_7_1920","2016Kim003_7",9,6,16,0
130,"2016Kim003_7_1920","2016Kim003_7",10,6,16,0
131,"2016Kim003_7_1920","2016Kim003_7",11,6,16,0
132,"2016Kim003_7_1920","2016Kim003_7",12,6,16,0
133,"2016Kim003_7_1920","2016Kim003_7",13,6,16,0
134,"2016Kim003_7_1920","2016Kim003_7",14,6,16,0
135,"2016Kim003_7_1920","2016Kim003_7",15,6,16,0
136,"2016Kim003_7_1920","2016Kim003_7",16,6,16,0
137,"2016Kim003_7_1921","2016Kim003_7",0,0,16,1
138,"2016Kim003_7_1921","2016Kim003_7",1,0,16,0
139,"2016Kim003_7_1921","2016Kim003_7",2,0,16,0
140,"2016Kim003_7_1921","2016Kim003_7",3,0,16,0
141,"2016Kim003_7_1921","2016Kim003_7",4,0,16,0
142,"2016Kim003_7_1921","2016Kim003_7",5,0,16,0
143,"2016Kim003_7_1921","2016Kim003_7",6,0,16,0
144,"2016Kim003_7_1921","2016Kim003_7",7,0,16,0
145,"2016Kim003_7_1921","2016Kim003_7",8,0,16,0
146,"2016Kim003_7_1921","2016Kim003_7",9,0,16,0
147,"2016Kim003_7_1921","2016Kim003_7",10,0,16,0
148,"2016Kim003_7_1921","2016Kim003_7",11,0,16,0
149,"2016Kim003_7_1921","2016Kim003_7",12,0,16,0
150,"2016Kim003_7_1921","2016Kim003_7",13,0,16,0
151,"2016Kim003_7_1921","2016Kim003_7",14,0,16,0
152,"2016Kim003_7_1921","2016Kim003_7",15,0,16,0
153,"2016Kim003_7_1921","2016Kim003_7",16,0,16,0
154,"2016Kim003_7_1922","2016Kim003_7",0,0,16,1
155,"2016Kim003_7_1922","2016Kim003_7",1,0,16,0
156,"2016Kim003_7_1922","2016Kim003_7",2,0,16,0
157,"2016Kim003_7_1922","2016Kim003_7",3,0,16,0
158,"2016Kim003_7_1922","2016Kim003_7",4,0,16,0
159,"2016Kim003_7_1922","2016Kim003_7",5,0,16,0
160,"2016Kim003_7_1922","2016Kim003_7",6,0,16,0
161,"2016Kim003_7_1922","2016Kim003_7",7,0,16,0
162,"2016Kim003_7_1922","2016Kim003_7",8,0,16,0
163,"2016Kim003_7_1922","2016Kim003_7",9,0,16,0
164,"2016Kim003_7_1922","2016Kim003_7",10,0,16,0
165,"2016Kim003_7_1922","2016Kim003_7",11,0,16,0
166,"2016Kim003_7_1922","2016Kim003_7",12,0,16,0
167,"2016Kim003_7_1922","2016Kim003_7",13,0,16,0
168,"2016Kim003_7_1922","2016Kim003_7",14,0,16,0
169,"2016Kim003_7_1922","2016Kim003_7",15,0,16,0
170,"2016Kim003_7_1922","2016Kim003_7",16,0,16,0
171,"2016Kim003_7_1923","2016Kim003_7",0,8,16,0
172,"2016Kim003_7_1923","2016Kim003_7",1,8,16,0
173,"2016Kim003_7_1923","2016Kim003_7",2,8,16,0
174,"2016Kim003_7_1923","2016Kim003_7",3,8,16,0
175,"2016Kim003_7_1923","2016Kim003_7",4,8,16,0
176,"2016Kim003_7_1923","2016Kim003_7",5,8,16,0
177,"2016Kim003_7_1923","2016Kim003_7",6,8,16,0
178,"2016Kim003_7_1923","2016Kim003_7",7,8,16,0
179,"2016Kim003_7_1923","2016Kim003_7",8,8,16,1
180,"2016Kim003_7_1923","2016Kim003_7",9,8,16,0
181,"2016Kim003_7_1923","2016Kim003_7",10,8,16,0
182,"2016Kim003_7_1923","2016Kim003_7",11,8,16,0
183,"2016Kim003_7_1923","2016Kim003_7",12,8,16,0
184,"2016Kim003_7_1923","2016Kim003_7",13,8,16,0
185,"2016Kim003_7_1923","2016Kim003_7",14,8,16,0
186,"2016Kim003_7_1923","2016Kim003_7",15,8,16,0
187,"2016Kim003_7_1923","2016Kim003_7",16,8,16,0
188,"2016Kim003_7_1924","2016Kim003_7",0,0,16,1
189,"2016Kim003_7_1924","2016Kim003_7",1,0,16,0
190,"2016Kim003_7_1924","2016Kim003_7",2,0,16,0
191,"2016Kim003_7_1924","2016Kim003_7",3,0,16,0
192,"2016Kim003_7_1924","2016Kim003_7",4,0,16,0
193,"2016Kim003_7_1924","2016Kim003_7",5,0,16,0
194,"2016Kim003_7_1924","2016Kim003_7",6,0,16,0
195,"2016Kim003_7_1924","2016Kim003_7",7,0,16,0
196,"2016Kim003_7_1924","2016Kim003_7",8,0,16,0
197,"2016Kim003_7_1924","2016Kim003_7",9,0,16,0
198,"2016Kim003_7_1924","2016Kim003_7",10,0,16,0
199,"2016Kim003_7_1924","2016Kim003_7",11,0,16,0
200,"2016Kim003_7_1924","2016Kim003_7",12,0,16,0
201,"2016Kim003_7_1924","2016Kim003_7",13,0,16,0
202,"2016Kim003_7_1924","2016Kim003_7",14,0,16,0
203,"2016Kim003_7_1924","2016Kim003_7",15,0,16,0
204,"2016Kim003_7_1924","2016Kim003_7",16,0,16,0
205,"2016Kim003_7_2015","2016Kim003_7",0,0,16,1
206,"2016Kim003_7_2015","2016Kim003_7",1,0,16,0
207,"2016Kim003_7_2015","2016Kim003_7",2,0,16,0
208,"2016Kim003_7_2015","2016Kim003_7",3,0,16,0
209,"2016Kim003_7_2015","2016Kim003_7",4,0,16,0
210,"2016Kim003_7_2015","2016Kim003_7",5,0,16,0
211,"2016Kim003_7_2015","2016Kim003_7",6,0,16,0
212,"2016Kim003_7_2015","2016Kim003_7",7,0,16,0
213,"2016Kim003_7_2015","2016Kim003_7",8,0,16,0
214,"2016Kim003_7_2015","2016Kim003_7",9,0,16,0
215,"2016Kim003_7_2015","2016Kim003_7",10,0,16,0
216,"2016Kim003_7_2015","2016Kim003_7",11,0,16,0
217,"2016Kim003_7_2015","2016Kim003_7",12,0,16,0
218,"2016Kim003_7_2015","2016Kim003_7",13,0,16,0
219,"2016Kim003_7_2015","2016Kim003_7",14,0,16,0
220,"2016Kim003_7_2015","2016Kim003_7",15,0,16,0
221,"2016Kim003_7_2015","2016Kim003_7",16,0,16,0
222,"2016Kim003_7_2016","2016Kim003_7",0,0,16,1
223,"2016Kim003_7_2016","2016Kim003_7",1,0,16,0
224,"2016Kim003_7_2016","2016Kim003_7",2,0,16,0
225,"2016Kim003_7_2016","2016Kim003_7",3,0,16,0
226,"2016Kim003_7_2016","2016Kim003_7",4,0,16,0
227,"2016Kim003_7_2016","2016Kim003_7",5,0,16,0
228,"2016Kim003_7_2016","2016Kim003_7",6,0,16,0
229,"2016Kim003_7_2016","2016Kim003_7",7,0,16,0
230,"2016Kim003_7_2016","2016Kim003_7",8,0,16,0
231,"2016Kim003_7_2016","2016Kim003_7",9,0,16,0
232,"2016Kim003_7_2016","2016Kim003_7",10,0,16,0
233,"2016Kim003_7_2016","2016Kim003_7",11,0,16,0
234,"2016Kim003_7_2016","2016Kim003_7",12,0,16,0
235,"2016Kim003_7_2016","2016Kim003_7",13,0,16,0
236,"2016Kim003_7_2016","2016Kim003_7",14,0,16,0
237,"2016Kim003_7_2016","2016Kim003_7",15,0,16,0
238,"2016Kim003_7_2016","2016Kim003_7",16,0,16,0
239,"2016Kim003_7_2017","2016Kim003_7",0,8,16,0
240,"2016Kim003_7_2017","2016Kim003_7",1,8,16,0
241,"2016Kim003_7_2017","2016Kim003_7",2,8,16,0
242,"2016Kim003_7_2017","2016Kim003_7",3,8,16,0
243,"2016Kim003_7_2017","2016Kim003_7",4,8,16,0
244,"2016Kim003_7_2017","2016Kim003_7",5,8,16,0
245,"2016Kim003_7_2017","2016Kim003_7",6,8,16,0
246,"2016Kim003_7_2017","2016Kim003_7",7,8,16,0
247,"2016Kim003_7_2017","2016Kim003_7",8,8,16,1
248,"2016Kim003_7_2017","2016Kim003_7",9,8,16,0
249,"2016Kim003_7_2017","2016Kim003_7",10,8,16,0
250,"2016Kim003_7_2017","2016Kim003_7",11,8,16,0
251,"2016Kim003_7_2017","2016Kim003_7",12,8,16,0
252,"2016Kim003_7_2017","2016Kim003_7",13,8,16,0
253,"2016Kim003_7_2017","2016Kim003_7",14,8,16,0
254,"2016Kim003_7_2017","2016Kim003_7",15,8,16,0
255,"2016Kim003_7_2017","2016Kim003_7",16,8,16,0
256,"2016Kim003_7_2018","2016Kim003_7",0,6,16,0
257,"2016Kim003_7_2018","2016Kim003_7",1,6,16,0
258,"2016Kim003_7_2018","2016Kim003_7",2,6,16,0
259,"2016Kim003_7_2018","2016Kim003_7",3,6,16,0
260,"2016Kim003_7_2018","2016Kim003_7",4,6,16,0
261,"2016Kim003_7_2018","2016Kim003_7",5,6,16,0
262,"2016Kim003_7_2018","2016Kim003_7",6,6,16,1
263,"2016Kim003_7_2018","2016Kim003_7",7,6,16,0
264,"2016Kim003_7_2018","2016Kim003_7",8,6,16,0
265,"2016Kim003_7_2018","2016Kim003_7",9,6,16,0
266,"2016Kim003_7_2018","2016Kim003_7",10,6,16,0
267,"2016Kim003_7_2018","2016Kim003_7",11,6,16,0
268,"2016Kim003_7_2018","2016Kim003_7",12,6,16,0
269,"2016Kim003_7_2018","2016Kim003_7",13,6,16,0
270,"2016Kim003_7_2018","2016Kim003_7",14,6,16,0
271,"2016Kim003_7_2018","2016Kim003_7",15,6,16,0
272,"2016Kim003_7_2018","2016Kim003_7",16,6,16,0
273,"2016Kim003_7_2019","2016Kim003_7",0,8,16,0
274,"2016Kim003_7_2019","2016Kim003_7",1,8,16,0
275,"2016Kim003_7_2019","2016Kim003_7",2,8,16,0
276,"2016Kim003_7_2019","2016Kim003_7",3,8,16,0
277,"2016Kim003_7_2019","2016Kim003_7",4,8,16,0
278,"2016Kim003_7_2019","2016Kim003_7",5,8,16,0
279,"2016Kim003_7_2019","2016Kim003_7",6,8,16,0
280,"2016Kim003_7_2019","2016Kim003_7",7,8,16,0
281,"2016Kim003_7_2019","2016Kim003_7",8,8,16,1
282,"2016Kim003_7_2019","2016Kim003_7",9,8,16,0
283,"2016Kim003_7_2019","2016Kim003_7",10,8,16,0
284,"2016Kim003_7_2019","2016Kim003_7",11,8,16,0
285,"2016Kim003_7_2019","2016Kim003_7",12,8,16,0
286,"2016Kim003_7_2019","2016Kim003_7",13,8,16,0
287,"2016Kim003_7_2019","2016Kim003_7",14,8,16,0
288,"2016Kim003_7_2019","2016Kim003_7",15,8,16,0
289,"2016Kim003_7_2019","2016Kim003_7",16,8,16,0
290,"2016Kim003_7_2020","2016Kim003_7",0,7,16,0
291,"2016Kim003_7_2020","2016Kim003_7",1,7,16,0
292,"2016Kim003_7_2020","2016Kim003_7",2,7,16,0
293,"2016Kim003_7_2020","2016Kim003_7",3,7,16,0
294,"2016Kim003_7_2020","2016Kim003_7",4,7,16,0
295,"2016Kim003_7_2020","2016Kim003_7",5,7,16,0
296,"2016Kim003_7_2020","2016Kim003_7",6,7,16,0
297,"2016Kim003_7_2020","2016Kim003_7",7,7,16,1
298,"2016Kim003_7_2020","2016Kim003_7",8,7,16,0
299,"2016Kim003_7_2020","2016Kim003_7",9,7,16,0
300,"2016Kim003_7_2020","2016Kim003_7",10,7,16,0
301,"2016Kim003_7_2020","2016Kim003_7",11,7,16,0
302,"2016Kim003_7_2020","2016Kim003_7",12,7,16,0
303,"2016Kim003_7_2020","2016Kim003_7",13,7,16,0
304,"2016Kim003_7_2020","2016Kim003_7",14,7,16,0
305,"2016Kim003_7_2020","2016Kim003_7",15,7,16,0
306,"2016Kim003_7_2020","2016Kim003_7",16,7,16,0
307,"2016Kim003_7_2021","2016Kim003_7",0,1,16,0
308,"2016Kim003_7_2021","2016Kim003_7",1,1,16,1
309,"2016Kim003_7_2021","2016Kim003_7",2,1,16,0
310,"2016Kim003_7_2021","2016Kim003_7",3,1,16,0
311,"2016Kim003_7_2021","2016Kim003_7",4,1,16,0
312,"2016Kim003_7_2021","2016Kim003_7",5,1,16,0
313,"2016Kim003_7_2021","2016Kim003_7",6,1,16,0
314,"2016Kim003_7_2021","2016Kim003_7",7,1,16,0
315,"2016Kim003_7_2021","2016Kim003_7",8,1,16,0
316,"2016Kim003_7_2021","2016Kim003_7",9,1,16,0
317,"2016Kim003_7_2021","2016Kim003_7",10,1,16,0
318,"2016Kim003_7_2021","2016Kim003_7",11,1,16,0
319,"2016Kim003_7_2021","2016Kim003_7",12,1,16,0
320,"2016Kim003_7_2021","2016Kim003_7",13,1,16,0
321,"2016Kim003_7_2021","2016Kim003_7",14,1,16,0
322,"2016Kim003_7_2021","2016Kim003_7",15,1,16,0
323,"2016Kim003_7_2021","2016Kim003_7",16,1,16,0
324,"2016Kim003_7_2022","2016Kim003_7",0,0,16,1
325,"2016Kim003_7_2022","2016Kim003_7",1,0,16,0
326,"2016Kim003_7_2022","2016Kim003_7",2,0,16,0
327,"2016Kim003_7_2022","2016Kim003_7",3,0,16,0
328,"2016Kim003_7_2022","2016Kim003_7",4,0,16,0
329,"2016Kim003_7_2022","2016Kim003_7",5,0,16,0
330,"2016Kim003_7_2022","2016Kim003_7",6,0,16,0
331,"2016Kim003_7_2022","2016Kim003_7",7,0,16,0
332,"2016Kim003_7_2022","2016Kim003_7",8,0,16,0
333,"2016Kim003_7_2022","2016Kim003_7",9,0,16,0
334,"2016Kim003_7_2022","2016Kim003_7",10,0,16,0
335,"2016Kim003_7_2022","2016Kim003_7",11,0,16,0
336,"2016Kim003_7_2022","2016Kim003_7",12,0,16,0
337,"2016Kim003_7_2022","2016Kim003_7",13,0,16,0
338,"2016Kim003_7_2022","2016Kim003_7",14,0,16,0
339,"2016Kim003_7_2022","2016Kim003_7",15,0,16,0
340,"2016Kim003_7_2022","2016Kim003_7",16,0,16,0
341,"2016Kim003_7_2023","2016Kim003_7",0,4,16,0
342,"2016Kim003_7_2023","2016Kim003_7",1,4,16,0
343,"2016Kim003_7_2023","2016Kim003_7",2,4,16,0
344,"2016Kim003_7_2023","2016Kim003_7",3,4,16,0
345,"2016Kim003_7_2023","2016Kim003_7",4,4,16,1
346,"2016Kim003_7_2023","2016Kim003_7",5,4,16,0
347,"2016Kim003_7_2023","2016Kim003_7",6,4,16,0
348,"2016Kim003_7_2023","2016Kim003_7",7,4,16,0
349,"2016Kim003_7_2023","2016Kim003_7",8,4,16,0
350,"2016Kim003_7_2023","2016Kim003_7",9,4,16,0
351,"2016Kim003_7_2023","2016Kim003_7",10,4,16,0
352,"2016Kim003_7_2023","2016Kim003_7",11,4,16,0
353,"2016Kim003_7_2023","2016Kim003_7",12,4,16,0
354,"2016Kim003_7_2023","2016Kim003_7",13,4,16,0
355,"2016Kim003_7_2023","2016Kim003_7",14,4,16,0
356,"2016Kim003_7_2023","2016Kim003_7",15,4,16,0
357,"2016Kim003_7_2023","2016Kim003_7",16,4,16,0
358,"2016Kim003_7_2024","2016Kim003_7",0,6,16,0
359,"2016Kim003_7_2024","2016Kim003_7",1,6,16,0
360,"2016Kim003_7_2024","2016Kim003_7",2,6,16,0
361,"2016Kim003_7_2024","2016Kim003_7",3,6,16,0
362,"2016Kim003_7_2024","2016Kim003_7",4,6,16,0
363,"2016Kim003_7_2024","2016Kim003_7",5,6,16,0
364,"2016Kim003_7_2024","2016Kim003_7",6,6,16,1
365,"2016Kim003_7_2024","2016Kim003_7",7,6,16,0
366,"2016Kim003_7_2024","2016Kim003_7",8,6,16,0
367,"2016Kim003_7_2024","2016Kim003_7",9,6,16,0
368,"2016Kim003_7_2024","2016Kim003_7",10,6,16,0
369,"2016Kim003_7_2024","2016Kim003_7",11,6,16,0
370,"2016Kim003_7_2024","2016Kim003_7",12,6,16,0
371,"2016Kim003_7_2024","2016Kim003_7",13,6,16,0
372,"2016Kim003_7_2024","2016Kim003_7",14,6,16,0
373,"2016Kim003_7_2024","2016Kim003_7",15,6,16,0
374,"2016Kim003_7_2024","2016Kim003_7",16,6,16,0
375,"2016Kim003_7_2025","2016Kim003_7",0,8,16,0
376,"2016Kim003_7_2025","2016Kim003_7",1,8,16,0
377,"2016Kim003_7_2025","2016Kim003_7",2,8,16,0
378,"2016Kim003_7_2025","2016Kim003_7",3,8,16,0
379,"2016Kim003_7_2025","2016Kim003_7",4,8,16,0
380,"2016Kim003_7_2025","2016Kim003_7",5,8,16,0
381,"2016Kim003_7_2025","2016Kim003_7",6,8,16,0
382,"2016Kim003_7_2025","2016Kim003_7",7,8,16,0
383,"2016Kim003_7_2025","2016Kim003_7",8,8,16,1
384,"2016Kim003_7_2025","2016Kim003_7",9,8,16,0
385,"2016Kim003_7_2025","2016Kim003_7",10,8,16,0
386,"2016Kim003_7_2025","2016Kim003_7",11,8,16,0
387,"2016Kim003_7_2025","2016Kim003_7",12,8,16,0
388,"2016Kim003_7_2025","2016Kim003_7",13,8,16,0
389,"2016Kim003_7_2025","2016Kim003_7",14,8,16,0
390,"2016Kim003_7_2025","2016Kim003_7",15,8,16,0
391,"2016Kim003_7_2025","2016Kim003_7",16,8,16,0
392,"2016Kim003_7_2026","2016Kim003_7",0,8,16,0
393,"2016Kim003_7_2026","2016Kim003_7",1,8,16,0
394,"2016Kim003_7_2026","2016Kim003_7",2,8,16,0
395,"2016Kim003_7_2026","2016Kim003_7",3,8,16,0
396,"2016Kim003_7_2026","2016Kim003_7",4,8,16,0
397,"2016Kim003_7_2026","2016Kim003_7",5,8,16,0
398,"2016Kim003_7_2026","2016Kim003_7",6,8,16,0
399,"2016Kim003_7_2026","2016Kim003_7",7,8,16,0
400,"2016Kim003_7_2026","2016Kim003_7",8,8,16,1
401,"2016Kim003_7_2026","2016Kim003_7",9,8,16,0
402,"2016Kim003_7_2026","2016Kim003_7",10,8,16,0
403,"2016Kim003_7_2026","2016Kim003_7",11,8,16,0
404,"2016Kim003_7_2026","2016Kim003_7",12,8,16,0
405,"2016Kim003_7_2026","2016Kim003_7",13,8,16,0
406,"2016Kim003_7_2026","2016Kim003_7",14,8,16,0
407,"2016Kim003_7_2026","2016Kim003_7",15,8,16,0
408,"2016Kim003_7_2026","2016Kim003_7",16,8,16,0
409,"2016Kim003_7_2027","2016Kim003_7",0,6,16,0
410,"2016Kim003_7_2027","2016Kim003_7",1,6,16,0
411,"2016Kim003_7_2027","2016Kim003_7",2,6,16,0
412,"2016Kim003_7_2027","2016Kim003_7",3,6,16,0
413,"2016Kim003_7_2027","2016Kim003_7",4,6,16,0
414,"2016Kim003_7_2027","2016Kim003_7",5,6,16,0
415,"2016Kim003_7_2027","2016Kim003_7",6,6,16,1
416,"2016Kim003_7_2027","2016Kim003_7",7,6,16,0
417,"2016Kim003_7_2027","2016Kim003_7",8,6,16,0
418,"2016Kim003_7_2027","2016Kim003_7",9,6,16,0
419,"2016Kim003_7_2027","2016Kim003_7",10,6,16,0
420,"2016Kim003_7_2027","2016Kim003_7",11,6,16,0
421,"2016Kim003_7_2027","2016Kim003_7",12,6,16,0
422,"2016Kim003_7_2027","2016Kim003_7",13,6,16,0
423,"2016Kim003_7_2027","2016Kim003_7",14,6,16,0
424,"2016Kim003_7_2027","2016Kim003_7",15,6,16,0
425,"2016Kim003_7_2027","2016Kim003_7",16,6,16,0
426,"2016Kim003_7_2028","2016Kim003_7",0,8,16,0
427,"2016Kim003_7_2028","2016Kim003_7",1,8,16,0
428,"2016Kim003_7_2028","2016Kim003_7",2,8,16,0
429,"2016Kim003_7_2028","2016Kim003_7",3,8,16,0
430,"2016Kim003_7_2028","2016Kim003_7",4,8,16,0
431,"2016Kim003_7_2028","2016Kim003_7",5,8,16,0
432,"2016Kim003_7_2028","2016Kim003_7",6,8,16,0
433,"2016Kim003_7_2028","2016Kim003_7",7,8,16,0
434,"2016Kim003_7_2028","2016Kim003_7",8,8,16,1
435,"2016Kim003_7_2028","2016Kim003_7",9,8,16,0
