"p","subject_id","treatment_id","paper_id","scenarios","choice","endowment","A","gender","age","Design"
63,"2017Del037_3_207","2017Del037_3","2017Del037",11,2,12,0,0,33,"Within"
64,"2017Del037_3_207","2017Del037_3","2017Del037",12,2,12,0,0,33,"Within"
65,"2017Del037_3_209","2017Del037_3","2017Del037",0,1,10,0,0,33,"Within"
66,"2017Del037_3_209","2017Del037_3","2017Del037",1,1,10,1,0,33,"Within"
67,"2017Del037_3_209","2017Del037_3","2017Del037",2,1,10,0,0,33,"Within"
68,"2017Del037_3_209","2017Del037_3","2017Del037",3,1,10,0,0,33,"Within"
69,"2017Del037_3_209","2017Del037_3","2017Del037",4,1,10,0,0,33,"Within"
70,"2017Del037_3_209","2017Del037_3","2017Del037",5,1,10,0,0,33,"Within"
71,"2017Del037_3_209","2017Del037_3","2017Del037",6,1,10,0,0,33,"Within"
72,"2017Del037_3_209","2017Del037_3","2017Del037",7,1,10,0,0,33,"Within"
73,"2017Del037_3_209","2017Del037_3","2017Del037",8,1,10,0,0,33,"Within"
74,"2017Del037_3_209","2017Del037_3","2017Del037",9,1,10,0,0,33,"Within"
75,"2017Del037_3_209","2017Del037_3","2017Del037",10,1,10,0,0,33,"Within"
76,"2017Del037_3_214","2017Del037_3","2017Del037",0,7,11,0,0,36,"Within"
77,"2017Del037_3_214","2017Del037_3","2017Del037",1,7,11,0,0,36,"Within"
78,"2017Del037_3_214","2017Del037_3","2017Del037",2,7,11,0,0,36,"Within"
79,"2017Del037_3_214","2017Del037_3","2017Del037",3,7,11,0,0,36,"Within"
80,"2017Del037_3_214","2017Del037_3","2017Del037",4,7,11,0,0,36,"Within"
81,"2017Del037_3_214","2017Del037_3","2017Del037",5,7,11,0,0,36,"Within"
82,"2017Del037_3_214","2017Del037_3","2017Del037",6,7,11,0,0,36,"Within"
83,"2017Del037_3_214","2017Del037_3","2017Del037",7,7,11,1,0,36,"Within"
84,"2017Del037_3_214","2017Del037_3","2017Del037",8,7,11,0,0,36,"Within"
85,"2017Del037_3_214","2017Del037_3","2017Del037",9,7,11,0,0,36,"Within"
86,"2017Del037_3_214","2017Del037_3","2017Del037",10,7,11,0,0,36,"Within"
87,"2017Del037_3_214","2017Del037_3","2017Del037",11,7,11,0,0,36,"Within"
88,"2017Del037_3_216","2017Del037_3","2017Del037",0,1,12,0,1,35,"Within"
89,"2017Del037_3_216","2017Del037_3","2017Del037",1,1,12,1,1,35,"Within"
90,"2017Del037_3_216","2017Del037_3","2017Del037",2,1,12,0,1,35,"Within"
91,"2017Del037_3_216","2017Del037_3","2017Del037",3,1,12,0,1,35,"Within"
92,"2017Del037_3_216","2017Del037_3","2017Del037",4,1,12,0,1,35,"Within"
93,"2017Del037_3_216","2017Del037_3","2017Del037",5,1,12,0,1,35,"Within"
94,"2017Del037_3_216","2017Del037_3","2017Del037",6,1,12,0,1,35,"Within"
95,"2017Del037_3_216","2017Del037_3","2017Del037",7,1,12,0,1,35,"Within"
96,"2017Del037_3_216","2017Del037_3","2017Del037",8,1,12,0,1,35,"Within"
97,"2017Del037_3_216","2017Del037_3","2017Del037",9,1,12,0,1,35,"Within"
98,"2017Del037_3_216","2017Del037_3","2017Del037",10,1,12,0,1,35,"Within"
99,"2017Del037_3_216","2017Del037_3","2017Del037",11,1,12,0,1,35,"Within"
100,"2017Del037_3_216","2017Del037_3","2017Del037",12,1,12,0,1,35,"Within"
101,"2017Del037_3_218","2017Del037_3","2017Del037",0,2,11,0,1,35,"Within"
102,"2017Del037_3_218","2017Del037_3","2017Del037",1,2,11,0,1,35,"Within"
103,"2017Del037_3_218","2017Del037_3","2017Del037",2,2,11,1,1,35,"Within"
104,"2017Del037_3_218","2017Del037_3","2017Del037",3,2,11,0,1,35,"Within"
105,"2017Del037_3_218","2017Del037_3","2017Del037",4,2,11,0,1,35,"Within"
106,"2017Del037_3_218","2017Del037_3","2017Del037",5,2,11,0,1,35,"Within"
107,"2017Del037_3_218","2017Del037_3","2017Del037",6,2,11,0,1,35,"Within"
108,"2017Del037_3_218","2017Del037_3","2017Del037",7,2,11,0,1,35,"Within"
109,"2017Del037_3_218","2017Del037_3","2017Del037",8,2,11,0,1,35,"Within"
110,"2017Del037_3_218","2017Del037_3","2017Del037",9,2,11,0,1,35,"Within"
111,"2017Del037_3_218","2017Del037_3","2017Del037",10,2,11,0,1,35,"Within"
112,"2017Del037_3_218","2017Del037_3","2017Del037",11,2,11,0,1,35,"Within"
113,"2017Del037_3_220","2017Del037_3","2017Del037",0,1,11,0,0,29,"Within"
114,"2017Del037_3_220","2017Del037_3","2017Del037",1,1,11,1,0,29,"Within"
115,"2017Del037_3_220","2017Del037_3","2017Del037",2,1,11,0,0,29,"Within"
116,"2017Del037_3_220","2017Del037_3","2017Del037",3,1,11,0,0,29,"Within"
117,"2017Del037_3_220","2017Del037_3","2017Del037",4,1,11,0,0,29,"Within"
118,"2017Del037_3_220","2017Del037_3","2017Del037",5,1,11,0,0,29,"Within"
119,"2017Del037_3_220","2017Del037_3","2017Del037",6,1,11,0,0,29,"Within"
120,"2017Del037_3_220","2017Del037_3","2017Del037",7,1,11,0,0,29,"Within"
121,"2017Del037_3_220","2017Del037_3","2017Del037",8,1,11,0,0,29,"Within"
122,"2017Del037_3_220","2017Del037_3","2017Del037",9,1,11,0,0,29,"Within"
123,"2017Del037_3_220","2017Del037_3","2017Del037",10,1,11,0,0,29,"Within"
124,"2017Del037_3_220","2017Del037_3","2017Del037",11,1,11,0,0,29,"Within"
125,"2017Del037_3_223","2017Del037_3","2017Del037",0,2,12,0,0,36,"Within"
126,"2017Del037_3_223","2017Del037_3","2017Del037",1,2,12,0,0,36,"Within"
127,"2017Del037_3_223","2017Del037_3","2017Del037",2,2,12,1,0,36,"Within"
128,"2017Del037_3_223","2017Del037_3","2017Del037",3,2,12,0,0,36,"Within"
129,"2017Del037_3_223","2017Del037_3","2017Del037",4,2,12,0,0,36,"Within"
130,"2017Del037_3_223","2017Del037_3","2017Del037",5,2,12,0,0,36,"Within"
131,"2017Del037_3_223","2017Del037_3","2017Del037",6,2,12,0,0,36,"Within"
132,"2017Del037_3_223","2017Del037_3","2017Del037",7,2,12,0,0,36,"Within"
133,"2017Del037_3_223","2017Del037_3","2017Del037",8,2,12,0,0,36,"Within"
134,"2017Del037_3_223","2017Del037_3","2017Del037",9,2,12,0,0,36,"Within"
135,"2017Del037_3_223","2017Del037_3","2017Del037",10,2,12,0,0,36,"Within"
136,"2017Del037_3_223","2017Del037_3","2017Del037",11,2,12,0,0,36,"Within"
137,"2017Del037_3_223","2017Del037_3","2017Del037",12,2,12,0,0,36,"Within"
138,"2017Del037_3_224","2017Del037_3","2017Del037",0,1,9,0,1,36,"Within"
139,"2017Del037_3_224","2017Del037_3","2017Del037",1,1,9,1,1,36,"Within"
140,"2017Del037_3_224","2017Del037_3","2017Del037",2,1,9,0,1,36,"Within"
141,"2017Del037_3_224","2017Del037_3","2017Del037",3,1,9,0,1,36,"Within"
142,"2017Del037_3_224","2017Del037_3","2017Del037",4,1,9,0,1,36,"Within"
143,"2017Del037_3_224","2017Del037_3","2017Del037",5,1,9,0,1,36,"Within"
144,"2017Del037_3_224","2017Del037_3","2017Del037",6,1,9,0,1,36,"Within"
145,"2017Del037_3_224","2017Del037_3","2017Del037",7,1,9,0,1,36,"Within"
146,"2017Del037_3_224","2017Del037_3","2017Del037",8,1,9,0,1,36,"Within"
147,"2017Del037_3_224","2017Del037_3","2017Del037",9,1,9,0,1,36,"Within"
148,"2017Del037_3_301","2017Del037_3","2017Del037",0,3,9,0,0,34,"Within"
149,"2017Del037_3_301","2017Del037_3","2017Del037",1,3,9,0,0,34,"Within"
150,"2017Del037_3_301","2017Del037_3","2017Del037",2,3,9,0,0,34,"Within"
151,"2017Del037_3_301","2017Del037_3","2017Del037",3,3,9,1,0,34,"Within"
152,"2017Del037_3_301","2017Del037_3","2017Del037",4,3,9,0,0,34,"Within"
153,"2017Del037_3_301","2017Del037_3","2017Del037",5,3,9,0,0,34,"Within"
154,"2017Del037_3_301","2017Del037_3","2017Del037",6,3,9,0,0,34,"Within"
155,"2017Del037_3_301","2017Del037_3","2017Del037",7,3,9,0,0,34,"Within"
156,"2017Del037_3_301","2017Del037_3","2017Del037",8,3,9,0,0,34,"Within"
157,"2017Del037_3_301","2017Del037_3","2017Del037",9,3,9,0,0,34,"Within"
158,"2017Del037_3_305","2017Del037_3","2017Del037",0,4,13,0,1,35,"Within"
159,"2017Del037_3_305","2017Del037_3","2017Del037",1,4,13,0,1,35,"Within"
160,"2017Del037_3_305","2017Del037_3","2017Del037",2,4,13,0,1,35,"Within"
161,"2017Del037_3_305","2017Del037_3","2017Del037",3,4,13,0,1,35,"Within"
162,"2017Del037_3_305","2017Del037_3","2017Del037",4,4,13,1,1,35,"Within"
163,"2017Del037_3_305","2017Del037_3","2017Del037",5,4,13,0,1,35,"Within"
164,"2017Del037_3_305","2017Del037_3","2017Del037",6,4,13,0,1,35,"Within"
165,"2017Del037_3_305","2017Del037_3","2017Del037",7,4,13,0,1,35,"Within"
166,"2017Del037_3_305","2017Del037_3","2017Del037",8,4,13,0,1,35,"Within"
167,"2017Del037_3_305","2017Del037_3","2017Del037",9,4,13,0,1,35,"Within"
168,"2017Del037_3_305","2017Del037_3","2017Del037",10,4,13,0,1,35,"Within"
169,"2017Del037_3_305","2017Del037_3","2017Del037",11,4,13,0,1,35,"Within"
170,"2017Del037_3_305","2017Del037_3","2017Del037",12,4,13,0,1,35,"Within"
171,"2017Del037_3_305","2017Del037_3","2017Del037",13,4,13,0,1,35,"Within"
172,"2017Del037_3_311","2017Del037_3","2017Del037",0,0,10,1,1,36,"Within"
173,"2017Del037_3_311","2017Del037_3","2017Del037",1,0,10,0,1,36,"Within"
174,"2017Del037_3_311","2017Del037_3","2017Del037",2,0,10,0,1,36,"Within"
175,"2017Del037_3_311","2017Del037_3","2017Del037",3,0,10,0,1,36,"Within"
176,"2017Del037_3_311","2017Del037_3","2017Del037",4,0,10,0,1,36,"Within"
177,"2017Del037_3_311","2017Del037_3","2017Del037",5,0,10,0,1,36,"Within"
178,"2017Del037_3_311","2017Del037_3","2017Del037",6,0,10,0,1,36,"Within"
179,"2017Del037_3_311","2017Del037_3","2017Del037",7,0,10,0,1,36,"Within"
180,"2017Del037_3_311","2017Del037_3","2017Del037",8,0,10,0,1,36,"Within"
181,"2017Del037_3_311","2017Del037_3","2017Del037",9,0,10,0,1,36,"Within"
182,"2017Del037_3_311","2017Del037_3","2017Del037",10,0,10,0,1,36,"Within"
183,"2017Del037_3_312","2017Del037_3","2017Del037",0,5,10,0,1,33,"Within"
184,"2017Del037_3_312","2017Del037_3","2017Del037",1,5,10,0,1,33,"Within"
185,"2017Del037_3_312","2017Del037_3","2017Del037",2,5,10,0,1,33,"Within"
186,"2017Del037_3_312","2017Del037_3","2017Del037",3,5,10,0,1,33,"Within"
187,"2017Del037_3_312","2017Del037_3","2017Del037",4,5,10,0,1,33,"Within"
188,"2017Del037_3_312","2017Del037_3","2017Del037",5,5,10,1,1,33,"Within"
189,"2017Del037_3_312","2017Del037_3","2017Del037",6,5,10,0,1,33,"Within"
190,"2017Del037_3_312","2017Del037_3","2017Del037",7,5,10,0,1,33,"Within"
191,"2017Del037_3_312","2017Del037_3","2017Del037",8,5,10,0,1,33,"Within"
192,"2017Del037_3_312","2017Del037_3","2017Del037",9,5,10,0,1,33,"Within"
193,"2017Del037_3_312","2017Del037_3","2017Del037",10,5,10,0,1,33,"Within"
194,"2017Del037_3_314","2017Del037_3","2017Del037",0,4,9,0,1,35,"Within"
195,"2017Del037_3_314","2017Del037_3","2017Del037",1,4,9,0,1,35,"Within"
196,"2017Del037_3_314","2017Del037_3","2017Del037",2,4,9,0,1,35,"Within"
197,"2017Del037_3_314","2017Del037_3","2017Del037",3,4,9,0,1,35,"Within"
198,"2017Del037_3_314","2017Del037_3","2017Del037",4,4,9,1,1,35,"Within"
199,"2017Del037_3_314","2017Del037_3","2017Del037",5,4,9,0,1,35,"Within"
200,"2017Del037_3_314","2017Del037_3","2017Del037",6,4,9,0,1,35,"Within"
201,"2017Del037_3_314","2017Del037_3","2017Del037",7,4,9,0,1,35,"Within"
202,"2017Del037_3_314","2017Del037_3","2017Del037",8,4,9,0,1,35,"Within"
203,"2017Del037_3_314","2017Del037_3","2017Del037",9,4,9,0,1,35,"Within"
204,"2017Del037_3_315","2017Del037_3","2017Del037",0,1,6,0,0,35,"Within"
205,"2017Del037_3_315","2017Del037_3","2017Del037",1,1,6,1,0,35,"Within"
206,"2017Del037_3_315","2017Del037_3","2017Del037",2,1,6,0,0,35,"Within"
207,"2017Del037_3_315","2017Del037_3","2017Del037",3,1,6,0,0,35,"Within"
208,"2017Del037_3_315","2017Del037_3","2017Del037",4,1,6,0,0,35,"Within"
209,"2017Del037_3_315","2017Del037_3","2017Del037",5,1,6,0,0,35,"Within"
210,"2017Del037_3_315","2017Del037_3","2017Del037",6,1,6,0,0,35,"Within"
211,"2017Del037_3_316","2017Del037_3","2017Del037",0,3,10,0,0,31,"Within"
212,"2017Del037_3_316","2017Del037_3","2017Del037",1,3,10,0,0,31,"Within"
213,"2017Del037_3_316","2017Del037_3","2017Del037",2,3,10,0,0,31,"Within"
214,"2017Del037_3_316","2017Del037_3","2017Del037",3,3,10,1,0,31,"Within"
215,"2017Del037_3_316","2017Del037_3","2017Del037",4,3,10,0,0,31,"Within"
216,"2017Del037_3_316","2017Del037_3","2017Del037",5,3,10,0,0,31,"Within"
217,"2017Del037_3_316","2017Del037_3","2017Del037",6,3,10,0,0,31,"Within"
218,"2017Del037_3_316","2017Del037_3","2017Del037",7,3,10,0,0,31,"Within"
219,"2017Del037_3_316","2017Del037_3","2017Del037",8,3,10,0,0,31,"Within"
220,"2017Del037_3_316","2017Del037_3","2017Del037",9,3,10,0,0,31,"Within"
221,"2017Del037_3_316","2017Del037_3","2017Del037",10,3,10,0,0,31,"Within"
222,"2017Del037_3_317","2017Del037_3","2017Del037",0,5,11,0,1,33,"Within"
223,"2017Del037_3_317","2017Del037_3","2017Del037",1,5,11,0,1,33,"Within"
224,"2017Del037_3_317","2017Del037_3","2017Del037",2,5,11,0,1,33,"Within"
225,"2017Del037_3_317","2017Del037_3","2017Del037",3,5,11,0,1,33,"Within"
226,"2017Del037_3_317","2017Del037_3","2017Del037",4,5,11,0,1,33,"Within"
227,"2017Del037_3_317","2017Del037_3","2017Del037",5,5,11,1,1,33,"Within"
228,"2017Del037_3_317","2017Del037_3","2017Del037",6,5,11,0,1,33,"Within"
229,"2017Del037_3_317","2017Del037_3","2017Del037",7,5,11,0,1,33,"Within"
230,"2017Del037_3_317","2017Del037_3","2017Del037",8,5,11,0,1,33,"Within"
231,"2017Del037_3_317","2017Del037_3","2017Del037",9,5,11,0,1,33,"Within"
232,"2017Del037_3_317","2017Del037_3","2017Del037",10,5,11,0,1,33,"Within"
233,"2017Del037_3_317","2017Del037_3","2017Del037",11,5,11,0,1,33,"Within"
234,"2017Del037_3_320","2017Del037_3","2017Del037",0,0,5,1,1,35,"Within"
235,"2017Del037_3_320","2017Del037_3","2017Del037",1,0,5,0,1,35,"Within"
236,"2017Del037_3_320","2017Del037_3","2017Del037",2,0,5,0,1,35,"Within"
237,"2017Del037_3_320","2017Del037_3","2017Del037",3,0,5,0,1,35,"Within"
238,"2017Del037_3_320","2017Del037_3","2017Del037",4,0,5,0,1,35,"Within"
239,"2017Del037_3_320","2017Del037_3","2017Del037",5,0,5,0,1,35,"Within"
240,"2017Del037_3_321","2017Del037_3","2017Del037",0,3,9,0,0,35,"Within"
241,"2017Del037_3_321","2017Del037_3","2017Del037",1,3,9,0,0,35,"Within"
242,"2017Del037_3_321","2017Del037_3","2017Del037",2,3,9,0,0,35,"Within"
243,"2017Del037_3_321","2017Del037_3","2017Del037",3,3,9,1,0,35,"Within"
244,"2017Del037_3_321","2017Del037_3","2017Del037",4,3,9,0,0,35,"Within"
245,"2017Del037_3_321","2017Del037_3","2017Del037",5,3,9,0,0,35,"Within"
246,"2017Del037_3_321","2017Del037_3","2017Del037",6,3,9,0,0,35,"Within"
247,"2017Del037_3_321","2017Del037_3","2017Del037",7,3,9,0,0,35,"Within"
248,"2017Del037_3_321","2017Del037_3","2017Del037",8,3,9,0,0,35,"Within"
249,"2017Del037_3_321","2017Del037_3","2017Del037",9,3,9,0,0,35,"Within"
250,"2017Del037_3_323","2017Del037_3","2017Del037",0,2,11,0,1,35,"Within"
251,"2017Del037_3_323","2017Del037_3","2017Del037",1,2,11,0,1,35,"Within"
252,"2017Del037_3_323","2017Del037_3","2017Del037",2,2,11,1,1,35,"Within"
253,"2017Del037_3_323","2017Del037_3","2017Del037",3,2,11,0,1,35,"Within"
254,"2017Del037_3_323","2017Del037_3","2017Del037",4,2,11,0,1,35,"Within"
255,"2017Del037_3_323","2017Del037_3","2017Del037",5,2,11,0,1,35,"Within"
256,"2017Del037_3_323","2017Del037_3","2017Del037",6,2,11,0,1,35,"Within"
257,"2017Del037_3_323","2017Del037_3","2017Del037",7,2,11,0,1,35,"Within"
258,"2017Del037_3_323","2017Del037_3","2017Del037",8,2,11,0,1,35,"Within"
259,"2017Del037_3_323","2017Del037_3","2017Del037",9,2,11,0,1,35,"Within"
260,"2017Del037_3_323","2017Del037_3","2017Del037",10,2,11,0,1,35,"Within"
261,"2017Del037_3_323","2017Del037_3","2017Del037",11,2,11,0,1,35,"Within"
262,"2017Del037_3_324","2017Del037_3","2017Del037",0,6,12,0,0,30,"Within"
263,"2017Del037_3_324","2017Del037_3","2017Del037",1,6,12,0,0,30,"Within"
264,"2017Del037_3_324","2017Del037_3","2017Del037",2,6,12,0,0,30,"Within"
265,"2017Del037_3_324","2017Del037_3","2017Del037",3,6,12,0,0,30,"Within"
266,"2017Del037_3_324","2017Del037_3","2017Del037",4,6,12,0,0,30,"Within"
267,"2017Del037_3_324","2017Del037_3","2017Del037",5,6,12,0,0,30,"Within"
268,"2017Del037_3_324","2017Del037_3","2017Del037",6,6,12,1,0,30,"Within"
269,"2017Del037_3_324","2017Del037_3","2017Del037",7,6,12,0,0,30,"Within"
270,"2017Del037_3_324","2017Del037_3","2017Del037",8,6,12,0,0,30,"Within"
271,"2017Del037_3_324","2017Del037_3","2017Del037",9,6,12,0,0,30,"Within"
272,"2017Del037_3_324","2017Del037_3","2017Del037",10,6,12,0,0,30,"Within"
273,"2017Del037_3_324","2017Del037_3","2017Del037",11,6,12,0,0,30,"Within"
274,"2017Del037_3_324","2017Del037_3","2017Del037",12,6,12,0,0,30,"Within"
275,"2017Del037_3_501","2017Del037_3","2017Del037",0,3,11,0,1,36,"Within"
276,"2017Del037_3_501","2017Del037_3","2017Del037",1,3,11,0,1,36,"Within"
277,"2017Del037_3_501","2017Del037_3","2017Del037",2,3,11,0,1,36,"Within"
278,"2017Del037_3_501","2017Del037_3","2017Del037",3,3,11,1,1,36,"Within"
279,"2017Del037_3_501","2017Del037_3","2017Del037",4,3,11,0,1,36,"Within"
280,"2017Del037_3_501","2017Del037_3","2017Del037",5,3,11,0,1,36,"Within"
281,"2017Del037_3_501","2017Del037_3","2017Del037",6,3,11,0,1,36,"Within"
282,"2017Del037_3_501","2017Del037_3","2017Del037",7,3,11,0,1,36,"Within"
283,"2017Del037_3_501","2017Del037_3","2017Del037",8,3,11,0,1,36,"Within"
284,"2017Del037_3_501","2017Del037_3","2017Del037",9,3,11,0,1,36,"Within"
285,"2017Del037_3_501","2017Del037_3","2017Del037",10,3,11,0,1,36,"Within"
286,"2017Del037_3_501","2017Del037_3","2017Del037",11,3,11,0,1,36,"Within"
287,"2017Del037_3_502","2017Del037_3","2017Del037",0,5,11,0,0,34,"Within"
288,"2017Del037_3_502","2017Del037_3","2017Del037",1,5,11,0,0,34,"Within"
289,"2017Del037_3_502","2017Del037_3","2017Del037",2,5,11,0,0,34,"Within"
290,"2017Del037_3_502","2017Del037_3","2017Del037",3,5,11,0,0,34,"Within"
291,"2017Del037_3_502","2017Del037_3","2017Del037",4,5,11,0,0,34,"Within"
292,"2017Del037_3_502","2017Del037_3","2017Del037",5,5,11,1,0,34,"Within"
293,"2017Del037_3_502","2017Del037_3","2017Del037",6,5,11,0,0,34,"Within"
294,"2017Del037_3_502","2017Del037_3","2017Del037",7,5,11,0,0,34,"Within"
295,"2017Del037_3_502","2017Del037_3","2017Del037",8,5,11,0,0,34,"Within"
296,"2017Del037_3_502","2017Del037_3","2017Del037",9,5,11,0,0,34,"Within"
297,"2017Del037_3_502","2017Del037_3","2017Del037",10,5,11,0,0,34,"Within"
298,"2017Del037_3_502","2017Del037_3","2017Del037",11,5,11,0,0,34,"Within"
299,"2017Del037_3_506","2017Del037_3","2017Del037",0,4,11,0,1,36,"Within"
300,"2017Del037_3_506","2017Del037_3","2017Del037",1,4,11,0,1,36,"Within"
301,"2017Del037_3_506","2017Del037_3","2017Del037",2,4,11,0,1,36,"Within"
302,"2017Del037_3_506","2017Del037_3","2017Del037",3,4,11,0,1,36,"Within"
303,"2017Del037_3_506","2017Del037_3","2017Del037",4,4,11,1,1,36,"Within"
304,"2017Del037_3_506","2017Del037_3","2017Del037",5,4,11,0,1,36,"Within"
305,"2017Del037_3_506","2017Del037_3","2017Del037",6,4,11,0,1,36,"Within"
306,"2017Del037_3_506","2017Del037_3","2017Del037",7,4,11,0,1,36,"Within"
307,"2017Del037_3_506","2017Del037_3","2017Del037",8,4,11,0,1,36,"Within"
308,"2017Del037_3_506","2017Del037_3","2017Del037",9,4,11,0,1,36,"Within"
309,"2017Del037_3_506","2017Del037_3","2017Del037",10,4,11,0,1,36,"Within"
310,"2017Del037_3_506","2017Del037_3","2017Del037",11,4,11,0,1,36,"Within"
311,"2017Del037_3_507","2017Del037_3","2017Del037",0,5,13,0,0,33,"Within"
312,"2017Del037_3_507","2017Del037_3","2017Del037",1,5,13,0,0,33,"Within"
313,"2017Del037_3_507","2017Del037_3","2017Del037",2,5,13,0,0,33,"Within"
314,"2017Del037_3_507","2017Del037_3","2017Del037",3,5,13,0,0,33,"Within"
315,"2017Del037_3_507","2017Del037_3","2017Del037",4,5,13,0,0,33,"Within"
316,"2017Del037_3_507","2017Del037_3","2017Del037",5,5,13,1,0,33,"Within"
