"p","subject_id","treatment_id","paper_id","scenarios","choice","endowment","A","gender","age"
42,"2017Del037_3_206","2017Del037_3","2017Del037",2,5,11,0,1,36
43,"2017Del037_3_206","2017Del037_3","2017Del037",3,5,11,0,1,36
44,"2017Del037_3_206","2017Del037_3","2017Del037",4,5,11,0,1,36
45,"2017Del037_3_206","2017Del037_3","2017Del037",5,5,11,1,1,36
46,"2017Del037_3_206","2017Del037_3","2017Del037",6,5,11,0,1,36
47,"2017Del037_3_206","2017Del037_3","2017Del037",7,5,11,0,1,36
48,"2017Del037_3_206","2017Del037_3","2017Del037",8,5,11,0,1,36
49,"2017Del037_3_206","2017Del037_3","2017Del037",9,5,11,0,1,36
50,"2017Del037_3_206","2017Del037_3","2017Del037",10,5,11,0,1,36
51,"2017Del037_3_206","2017Del037_3","2017Del037",11,5,11,0,1,36
52,"2017Del037_3_207","2017Del037_3","2017Del037",0,2,12,0,0,33
53,"2017Del037_3_207","2017Del037_3","2017Del037",1,2,12,0,0,33
54,"2017Del037_3_207","2017Del037_3","2017Del037",2,2,12,1,0,33
55,"2017Del037_3_207","2017Del037_3","2017Del037",3,2,12,0,0,33
56,"2017Del037_3_207","2017Del037_3","2017Del037",4,2,12,0,0,33
57,"2017Del037_3_207","2017Del037_3","2017Del037",5,2,12,0,0,33
58,"2017Del037_3_207","2017Del037_3","2017Del037",6,2,12,0,0,33
59,"2017Del037_3_207","2017Del037_3","2017Del037",7,2,12,0,0,33
60,"2017Del037_3_207","2017Del037_3","2017Del037",8,2,12,0,0,33
61,"2017Del037_3_207","2017Del037_3","2017Del037",9,2,12,0,0,33
62,"2017Del037_3_207","2017Del037_3","2017Del037",10,2,12,0,0,33
63,"2017Del037_3_207","2017Del037_3","2017Del037",11,2,12,0,0,33
64,"2017Del037_3_207","2017Del037_3","2017Del037",12,2,12,0,0,33
65,"2017Del037_3_209","2017Del037_3","2017Del037",0,1,10,0,0,33
66,"2017Del037_3_209","2017Del037_3","2017Del037",1,1,10,1,0,33
67,"2017Del037_3_209","2017Del037_3","2017Del037",2,1,10,0,0,33
68,"2017Del037_3_209","2017Del037_3","2017Del037",3,1,10,0,0,33
69,"2017Del037_3_209","2017Del037_3","2017Del037",4,1,10,0,0,33
70,"2017Del037_3_209","2017Del037_3","2017Del037",5,1,10,0,0,33
71,"2017Del037_3_209","2017Del037_3","2017Del037",6,1,10,0,0,33
72,"2017Del037_3_209","2017Del037_3","2017Del037",7,1,10,0,0,33
73,"2017Del037_3_209","2017Del037_3","2017Del037",8,1,10,0,0,33
74,"2017Del037_3_209","2017Del037_3","2017Del037",9,1,10,0,0,33
75,"2017Del037_3_209","2017Del037_3","2017Del037",10,1,10,0,0,33
76,"2017Del037_3_214","2017Del037_3","2017Del037",0,7,11,0,0,36
77,"2017Del037_3_214","2017Del037_3","2017Del037",1,7,11,0,0,36
78,"2017Del037_3_214","2017Del037_3","2017Del037",2,7,11,0,0,36
79,"2017Del037_3_214","2017Del037_3","2017Del037",3,7,11,0,0,36
80,"2017Del037_3_214","2017Del037_3","2017Del037",4,7,11,0,0,36
81,"2017Del037_3_214","2017Del037_3","2017Del037",5,7,11,0,0,36
82,"2017Del037_3_214","2017Del037_3","2017Del037",6,7,11,0,0,36
83,"2017Del037_3_214","2017Del037_3","2017Del037",7,7,11,1,0,36
84,"2017Del037_3_214","2017Del037_3","2017Del037",8,7,11,0,0,36
85,"2017Del037_3_214","2017Del037_3","2017Del037",9,7,11,0,0,36
86,"2017Del037_3_214","2017Del037_3","2017Del037",10,7,11,0,0,36
87,"2017Del037_3_214","2017Del037_3","2017Del037",11,7,11,0,0,36
88,"2017Del037_3_216","2017Del037_3","2017Del037",0,1,12,0,1,35
89,"2017Del037_3_216","2017Del037_3","2017Del037",1,1,12,1,1,35
90,"2017Del037_3_216","2017Del037_3","2017Del037",2,1,12,0,1,35
91,"2017Del037_3_216","2017Del037_3","2017Del037",3,1,12,0,1,35
92,"2017Del037_3_216","2017Del037_3","2017Del037",4,1,12,0,1,35
93,"2017Del037_3_216","2017Del037_3","2017Del037",5,1,12,0,1,35
94,"2017Del037_3_216","2017Del037_3","2017Del037",6,1,12,0,1,35
95,"2017Del037_3_216","2017Del037_3","2017Del037",7,1,12,0,1,35
96,"2017Del037_3_216","2017Del037_3","2017Del037",8,1,12,0,1,35
97,"2017Del037_3_216","2017Del037_3","2017Del037",9,1,12,0,1,35
98,"2017Del037_3_216","2017Del037_3","2017Del037",10,1,12,0,1,35
99,"2017Del037_3_216","2017Del037_3","2017Del037",11,1,12,0,1,35
100,"2017Del037_3_216","2017Del037_3","2017Del037",12,1,12,0,1,35
101,"2017Del037_3_218","2017Del037_3","2017Del037",0,2,11,0,1,35
102,"2017Del037_3_218","2017Del037_3","2017Del037",1,2,11,0,1,35
103,"2017Del037_3_218","2017Del037_3","2017Del037",2,2,11,1,1,35
104,"2017Del037_3_218","2017Del037_3","2017Del037",3,2,11,0,1,35
105,"2017Del037_3_218","2017Del037_3","2017Del037",4,2,11,0,1,35
106,"2017Del037_3_218","2017Del037_3","2017Del037",5,2,11,0,1,35
107,"2017Del037_3_218","2017Del037_3","2017Del037",6,2,11,0,1,35
108,"2017Del037_3_218","2017Del037_3","2017Del037",7,2,11,0,1,35
109,"2017Del037_3_218","2017Del037_3","2017Del037",8,2,11,0,1,35
110,"2017Del037_3_218","2017Del037_3","2017Del037",9,2,11,0,1,35
111,"2017Del037_3_218","2017Del037_3","2017Del037",10,2,11,0,1,35
112,"2017Del037_3_218","2017Del037_3","2017Del037",11,2,11,0,1,35
113,"2017Del037_3_220","2017Del037_3","2017Del037",0,1,11,0,0,29
114,"2017Del037_3_220","2017Del037_3","2017Del037",1,1,11,1,0,29
115,"2017Del037_3_220","2017Del037_3","2017Del037",2,1,11,0,0,29
116,"2017Del037_3_220","2017Del037_3","2017Del037",3,1,11,0,0,29
117,"2017Del037_3_220","2017Del037_3","2017Del037",4,1,11,0,0,29
118,"2017Del037_3_220","2017Del037_3","2017Del037",5,1,11,0,0,29
119,"2017Del037_3_220","2017Del037_3","2017Del037",6,1,11,0,0,29
120,"2017Del037_3_220","2017Del037_3","2017Del037",7,1,11,0,0,29
121,"2017Del037_3_220","2017Del037_3","2017Del037",8,1,11,0,0,29
122,"2017Del037_3_220","2017Del037_3","2017Del037",9,1,11,0,0,29
123,"2017Del037_3_220","2017Del037_3","2017Del037",10,1,11,0,0,29
124,"2017Del037_3_220","2017Del037_3","2017Del037",11,1,11,0,0,29
125,"2017Del037_3_223","2017Del037_3","2017Del037",0,2,12,0,0,36
126,"2017Del037_3_223","2017Del037_3","2017Del037",1,2,12,0,0,36
127,"2017Del037_3_223","2017Del037_3","2017Del037",2,2,12,1,0,36
128,"2017Del037_3_223","2017Del037_3","2017Del037",3,2,12,0,0,36
129,"2017Del037_3_223","2017Del037_3","2017Del037",4,2,12,0,0,36
130,"2017Del037_3_223","2017Del037_3","2017Del037",5,2,12,0,0,36
131,"2017Del037_3_223","2017Del037_3","2017Del037",6,2,12,0,0,36
132,"2017Del037_3_223","2017Del037_3","2017Del037",7,2,12,0,0,36
133,"2017Del037_3_223","2017Del037_3","2017Del037",8,2,12,0,0,36
134,"2017Del037_3_223","2017Del037_3","2017Del037",9,2,12,0,0,36
135,"2017Del037_3_223","2017Del037_3","2017Del037",10,2,12,0,0,36
136,"2017Del037_3_223","2017Del037_3","2017Del037",11,2,12,0,0,36
137,"2017Del037_3_223","2017Del037_3","2017Del037",12,2,12,0,0,36
138,"2017Del037_3_224","2017Del037_3","2017Del037",0,1,9,0,1,36
139,"2017Del037_3_224","2017Del037_3","2017Del037",1,1,9,1,1,36
140,"2017Del037_3_224","2017Del037_3","2017Del037",2,1,9,0,1,36
141,"2017Del037_3_224","2017Del037_3","2017Del037",3,1,9,0,1,36
142,"2017Del037_3_224","2017Del037_3","2017Del037",4,1,9,0,1,36
143,"2017Del037_3_224","2017Del037_3","2017Del037",5,1,9,0,1,36
144,"2017Del037_3_224","2017Del037_3","2017Del037",6,1,9,0,1,36
145,"2017Del037_3_224","2017Del037_3","2017Del037",7,1,9,0,1,36
146,"2017Del037_3_224","2017Del037_3","2017Del037",8,1,9,0,1,36
147,"2017Del037_3_224","2017Del037_3","2017Del037",9,1,9,0,1,36
148,"2017Del037_3_301","2017Del037_3","2017Del037",0,3,9,0,0,34
149,"2017Del037_3_301","2017Del037_3","2017Del037",1,3,9,0,0,34
150,"2017Del037_3_301","2017Del037_3","2017Del037",2,3,9,0,0,34
151,"2017Del037_3_301","2017Del037_3","2017Del037",3,3,9,1,0,34
152,"2017Del037_3_301","2017Del037_3","2017Del037",4,3,9,0,0,34
153,"2017Del037_3_301","2017Del037_3","2017Del037",5,3,9,0,0,34
154,"2017Del037_3_301","2017Del037_3","2017Del037",6,3,9,0,0,34
155,"2017Del037_3_301","2017Del037_3","2017Del037",7,3,9,0,0,34
156,"2017Del037_3_301","2017Del037_3","2017Del037",8,3,9,0,0,34
157,"2017Del037_3_301","2017Del037_3","2017Del037",9,3,9,0,0,34
158,"2017Del037_3_305","2017Del037_3","2017Del037",0,4,13,0,1,35
159,"2017Del037_3_305","2017Del037_3","2017Del037",1,4,13,0,1,35
160,"2017Del037_3_305","2017Del037_3","2017Del037",2,4,13,0,1,35
161,"2017Del037_3_305","2017Del037_3","2017Del037",3,4,13,0,1,35
162,"2017Del037_3_305","2017Del037_3","2017Del037",4,4,13,1,1,35
163,"2017Del037_3_305","2017Del037_3","2017Del037",5,4,13,0,1,35
164,"2017Del037_3_305","2017Del037_3","2017Del037",6,4,13,0,1,35
165,"2017Del037_3_305","2017Del037_3","2017Del037",7,4,13,0,1,35
166,"2017Del037_3_305","2017Del037_3","2017Del037",8,4,13,0,1,35
167,"2017Del037_3_305","2017Del037_3","2017Del037",9,4,13,0,1,35
168,"2017Del037_3_305","2017Del037_3","2017Del037",10,4,13,0,1,35
169,"2017Del037_3_305","2017Del037_3","2017Del037",11,4,13,0,1,35
170,"2017Del037_3_305","2017Del037_3","2017Del037",12,4,13,0,1,35
171,"2017Del037_3_305","2017Del037_3","2017Del037",13,4,13,0,1,35
172,"2017Del037_3_311","2017Del037_3","2017Del037",0,0,10,1,1,36
173,"2017Del037_3_311","2017Del037_3","2017Del037",1,0,10,0,1,36
174,"2017Del037_3_311","2017Del037_3","2017Del037",2,0,10,0,1,36
175,"2017Del037_3_311","2017Del037_3","2017Del037",3,0,10,0,1,36
176,"2017Del037_3_311","2017Del037_3","2017Del037",4,0,10,0,1,36
177,"2017Del037_3_311","2017Del037_3","2017Del037",5,0,10,0,1,36
178,"2017Del037_3_311","2017Del037_3","2017Del037",6,0,10,0,1,36
179,"2017Del037_3_311","2017Del037_3","2017Del037",7,0,10,0,1,36
180,"2017Del037_3_311","2017Del037_3","2017Del037",8,0,10,0,1,36
181,"2017Del037_3_311","2017Del037_3","2017Del037",9,0,10,0,1,36
182,"2017Del037_3_311","2017Del037_3","2017Del037",10,0,10,0,1,36
183,"2017Del037_3_312","2017Del037_3","2017Del037",0,5,10,0,1,33
184,"2017Del037_3_312","2017Del037_3","2017Del037",1,5,10,0,1,33
185,"2017Del037_3_312","2017Del037_3","2017Del037",2,5,10,0,1,33
186,"2017Del037_3_312","2017Del037_3","2017Del037",3,5,10,0,1,33
187,"2017Del037_3_312","2017Del037_3","2017Del037",4,5,10,0,1,33
188,"2017Del037_3_312","2017Del037_3","2017Del037",5,5,10,1,1,33
189,"2017Del037_3_312","2017Del037_3","2017Del037",6,5,10,0,1,33
190,"2017Del037_3_312","2017Del037_3","2017Del037",7,5,10,0,1,33
191,"2017Del037_3_312","2017Del037_3","2017Del037",8,5,10,0,1,33
192,"2017Del037_3_312","2017Del037_3","2017Del037",9,5,10,0,1,33
193,"2017Del037_3_312","2017Del037_3","2017Del037",10,5,10,0,1,33
194,"2017Del037_3_314","2017Del037_3","2017Del037",0,4,9,0,1,35
195,"2017Del037_3_314","2017Del037_3","2017Del037",1,4,9,0,1,35
196,"2017Del037_3_314","2017Del037_3","2017Del037",2,4,9,0,1,35
197,"2017Del037_3_314","2017Del037_3","2017Del037",3,4,9,0,1,35
198,"2017Del037_3_314","2017Del037_3","2017Del037",4,4,9,1,1,35
199,"2017Del037_3_314","2017Del037_3","2017Del037",5,4,9,0,1,35
200,"2017Del037_3_314","2017Del037_3","2017Del037",6,4,9,0,1,35
201,"2017Del037_3_314","2017Del037_3","2017Del037",7,4,9,0,1,35
202,"2017Del037_3_314","2017Del037_3","2017Del037",8,4,9,0,1,35
203,"2017Del037_3_314","2017Del037_3","2017Del037",9,4,9,0,1,35
204,"2017Del037_3_315","2017Del037_3","2017Del037",0,1,6,0,0,35
205,"2017Del037_3_315","2017Del037_3","2017Del037",1,1,6,1,0,35
206,"2017Del037_3_315","2017Del037_3","2017Del037",2,1,6,0,0,35
207,"2017Del037_3_315","2017Del037_3","2017Del037",3,1,6,0,0,35
208,"2017Del037_3_315","2017Del037_3","2017Del037",4,1,6,0,0,35
209,"2017Del037_3_315","2017Del037_3","2017Del037",5,1,6,0,0,35
210,"2017Del037_3_315","2017Del037_3","2017Del037",6,1,6,0,0,35
211,"2017Del037_3_316","2017Del037_3","2017Del037",0,3,10,0,0,31
212,"2017Del037_3_316","2017Del037_3","2017Del037",1,3,10,0,0,31
213,"2017Del037_3_316","2017Del037_3","2017Del037",2,3,10,0,0,31
214,"2017Del037_3_316","2017Del037_3","2017Del037",3,3,10,1,0,31
215,"2017Del037_3_316","2017Del037_3","2017Del037",4,3,10,0,0,31
216,"2017Del037_3_316","2017Del037_3","2017Del037",5,3,10,0,0,31
217,"2017Del037_3_316","2017Del037_3","2017Del037",6,3,10,0,0,31
218,"2017Del037_3_316","2017Del037_3","2017Del037",7,3,10,0,0,31
219,"2017Del037_3_316","2017Del037_3","2017Del037",8,3,10,0,0,31
220,"2017Del037_3_316","2017Del037_3","2017Del037",9,3,10,0,0,31
221,"2017Del037_3_316","2017Del037_3","2017Del037",10,3,10,0,0,31
222,"2017Del037_3_317","2017Del037_3","2017Del037",0,5,11,0,1,33
223,"2017Del037_3_317","2017Del037_3","2017Del037",1,5,11,0,1,33
224,"2017Del037_3_317","2017Del037_3","2017Del037",2,5,11,0,1,33
225,"2017Del037_3_317","2017Del037_3","2017Del037",3,5,11,0,1,33
226,"2017Del037_3_317","2017Del037_3","2017Del037",4,5,11,0,1,33
227,"2017Del037_3_317","2017Del037_3","2017Del037",5,5,11,1,1,33
228,"2017Del037_3_317","2017Del037_3","2017Del037",6,5,11,0,1,33
229,"2017Del037_3_317","2017Del037_3","2017Del037",7,5,11,0,1,33
230,"2017Del037_3_317","2017Del037_3","2017Del037",8,5,11,0,1,33
231,"2017Del037_3_317","2017Del037_3","2017Del037",9,5,11,0,1,33
232,"2017Del037_3_317","2017Del037_3","2017Del037",10,5,11,0,1,33
233,"2017Del037_3_317","2017Del037_3","2017Del037",11,5,11,0,1,33
234,"2017Del037_3_320","2017Del037_3","2017Del037",0,0,5,1,1,35
235,"2017Del037_3_320","2017Del037_3","2017Del037",1,0,5,0,1,35
236,"2017Del037_3_320","2017Del037_3","2017Del037",2,0,5,0,1,35
237,"2017Del037_3_320","2017Del037_3","2017Del037",3,0,5,0,1,35
238,"2017Del037_3_320","2017Del037_3","2017Del037",4,0,5,0,1,35
239,"2017Del037_3_320","2017Del037_3","2017Del037",5,0,5,0,1,35
240,"2017Del037_3_321","2017Del037_3","2017Del037",0,3,9,0,0,35
241,"2017Del037_3_321","2017Del037_3","2017Del037",1,3,9,0,0,35
242,"2017Del037_3_321","2017Del037_3","2017Del037",2,3,9,0,0,35
243,"2017Del037_3_321","2017Del037_3","2017Del037",3,3,9,1,0,35
244,"2017Del037_3_321","2017Del037_3","2017Del037",4,3,9,0,0,35
245,"2017Del037_3_321","2017Del037_3","2017Del037",5,3,9,0,0,35
246,"2017Del037_3_321","2017Del037_3","2017Del037",6,3,9,0,0,35
247,"2017Del037_3_321","2017Del037_3","2017Del037",7,3,9,0,0,35
248,"2017Del037_3_321","2017Del037_3","2017Del037",8,3,9,0,0,35
249,"2017Del037_3_321","2017Del037_3","2017Del037",9,3,9,0,0,35
250,"2017Del037_3_323","2017Del037_3","2017Del037",0,2,11,0,1,35
251,"2017Del037_3_323","2017Del037_3","2017Del037",1,2,11,0,1,35
252,"2017Del037_3_323","2017Del037_3","2017Del037",2,2,11,1,1,35
253,"2017Del037_3_323","2017Del037_3","2017Del037",3,2,11,0,1,35
254,"2017Del037_3_323","2017Del037_3","2017Del037",4,2,11,0,1,35
255,"2017Del037_3_323","2017Del037_3","2017Del037",5,2,11,0,1,35
256,"2017Del037_3_323","2017Del037_3","2017Del037",6,2,11,0,1,35
257,"2017Del037_3_323","2017Del037_3","2017Del037",7,2,11,0,1,35
258,"2017Del037_3_323","2017Del037_3","2017Del037",8,2,11,0,1,35
259,"2017Del037_3_323","2017Del037_3","2017Del037",9,2,11,0,1,35
260,"2017Del037_3_323","2017Del037_3","2017Del037",10,2,11,0,1,35
261,"2017Del037_3_323","2017Del037_3","2017Del037",11,2,11,0,1,35
262,"2017Del037_3_324","2017Del037_3","2017Del037",0,6,12,0,0,30
263,"2017Del037_3_324","2017Del037_3","2017Del037",1,6,12,0,0,30
264,"2017Del037_3_324","2017Del037_3","2017Del037",2,6,12,0,0,30
265,"2017Del037_3_324","2017Del037_3","2017Del037",3,6,12,0,0,30
266,"2017Del037_3_324","2017Del037_3","2017Del037",4,6,12,0,0,30
267,"2017Del037_3_324","2017Del037_3","2017Del037",5,6,12,0,0,30
268,"2017Del037_3_324","2017Del037_3","2017Del037",6,6,12,1,0,30
269,"2017Del037_3_324","2017Del037_3","2017Del037",7,6,12,0,0,30
270,"2017Del037_3_324","2017Del037_3","2017Del037",8,6,12,0,0,30
271,"2017Del037_3_324","2017Del037_3","2017Del037",9,6,12,0,0,30
272,"2017Del037_3_324","2017Del037_3","2017Del037",10,6,12,0,0,30
273,"2017Del037_3_324","2017Del037_3","2017Del037",11,6,12,0,0,30
274,"2017Del037_3_324","2017Del037_3","2017Del037",12,6,12,0,0,30
275,"2017Del037_3_501","2017Del037_3","2017Del037",0,3,11,0,1,36
276,"2017Del037_3_501","2017Del037_3","2017Del037",1,3,11,0,1,36
277,"2017Del037_3_501","2017Del037_3","2017Del037",2,3,11,0,1,36
278,"2017Del037_3_501","2017Del037_3","2017Del037",3,3,11,1,1,36
279,"2017Del037_3_501","2017Del037_3","2017Del037",4,3,11,0,1,36
280,"2017Del037_3_501","2017Del037_3","2017Del037",5,3,11,0,1,36
281,"2017Del037_3_501","2017Del037_3","2017Del037",6,3,11,0,1,36
282,"2017Del037_3_501","2017Del037_3","2017Del037",7,3,11,0,1,36
283,"2017Del037_3_501","2017Del037_3","2017Del037",8,3,11,0,1,36
284,"2017Del037_3_501","2017Del037_3","2017Del037",9,3,11,0,1,36
285,"2017Del037_3_501","2017Del037_3","2017Del037",10,3,11,0,1,36
286,"2017Del037_3_501","2017Del037_3","2017Del037",11,3,11,0,1,36
287,"2017Del037_3_502","2017Del037_3","2017Del037",0,5,11,0,0,34
288,"2017Del037_3_502","2017Del037_3","2017Del037",1,5,11,0,0,34
289,"2017Del037_3_502","2017Del037_3","2017Del037",2,5,11,0,0,34
290,"2017Del037_3_502","2017Del037_3","2017Del037",3,5,11,0,0,34
291,"2017Del037_3_502","2017Del037_3","2017Del037",4,5,11,0,0,34
292,"2017Del037_3_502","2017Del037_3","2017Del037",5,5,11,1,0,34
293,"2017Del037_3_502","2017Del037_3","2017Del037",6,5,11,0,0,34
294,"2017Del037_3_502","2017Del037_3","2017Del037",7,5,11,0,0,34
295,"2017Del037_3_502","2017Del037_3","2017Del037",8,5,11,0,0,34
296,"2017Del037_3_502","2017Del037_3","2017Del037",9,5,11,0,0,34
297,"2017Del037_3_502","2017Del037_3","2017Del037",10,5,11,0,0,34
298,"2017Del037_3_502","2017Del037_3","2017Del037",11,5,11,0,0,34
299,"2017Del037_3_506","2017Del037_3","2017Del037",0,4,11,0,1,36
300,"2017Del037_3_506","2017Del037_3","2017Del037",1,4,11,0,1,36
301,"2017Del037_3_506","2017Del037_3","2017Del037",2,4,11,0,1,36
302,"2017Del037_3_506","2017Del037_3","2017Del037",3,4,11,0,1,36
303,"2017Del037_3_506","2017Del037_3","2017Del037",4,4,11,1,1,36
304,"2017Del037_3_506","2017Del037_3","2017Del037",5,4,11,0,1,36
305,"2017Del037_3_506","2017Del037_3","2017Del037",6,4,11,0,1,36
306,"2017Del037_3_506","2017Del037_3","2017Del037",7,4,11,0,1,36
307,"2017Del037_3_506","2017Del037_3","2017Del037",8,4,11,0,1,36
308,"2017Del037_3_506","2017Del037_3","2017Del037",9,4,11,0,1,36
309,"2017Del037_3_506","2017Del037_3","2017Del037",10,4,11,0,1,36
310,"2017Del037_3_506","2017Del037_3","2017Del037",11,4,11,0,1,36
311,"2017Del037_3_507","2017Del037_3","2017Del037",0,5,13,0,0,33
312,"2017Del037_3_507","2017Del037_3","2017Del037",1,5,13,0,0,33
313,"2017Del037_3_507","2017Del037_3","2017Del037",2,5,13,0,0,33
314,"2017Del037_3_507","2017Del037_3","2017Del037",3,5,13,0,0,33
315,"2017Del037_3_507","2017Del037_3","2017Del037",4,5,13,0,0,33
316,"2017Del037_3_507","2017Del037_3","2017Del037",5,5,13,1,0,33
317,"2017Del037_3_507","2017Del037_3","2017Del037",6,5,13,0,0,33
318,"2017Del037_3_507","2017Del037_3","2017Del037",7,5,13,0,0,33
319,"2017Del037_3_507","2017Del037_3","2017Del037",8,5,13,0,0,33
320,"2017Del037_3_507","2017Del037_3","2017Del037",9,5,13,0,0,33
321,"2017Del037_3_507","2017Del037_3","2017Del037",10,5,13,0,0,33
322,"2017Del037_3_507","2017Del037_3","2017Del037",11,5,13,0,0,33
323,"2017Del037_3_507","2017Del037_3","2017Del037",12,5,13,0,0,33
324,"2017Del037_3_507","2017Del037_3","2017Del037",13,5,13,0,0,33
325,"2017Del037_3_508","2017Del037_3","2017Del037",0,2,6,0,1,36
326,"2017Del037_3_508","2017Del037_3","2017Del037",1,2,6,0,1,36
327,"2017Del037_3_508","2017Del037_3","2017Del037",2,2,6,1,1,36
328,"2017Del037_3_508","2017Del037_3","2017Del037",3,2,6,0,1,36
329,"2017Del037_3_508","2017Del037_3","2017Del037",4,2,6,0,1,36
330,"2017Del037_3_508","2017Del037_3","2017Del037",5,2,6,0,1,36
331,"2017Del037_3_508","2017Del037_3","2017Del037",6,2,6,0,1,36
332,"2017Del037_3_509","2017Del037_3","2017Del037",0,4,11,0,0,34
333,"2017Del037_3_509","2017Del037_3","2017Del037",1,4,11,0,0,34
334,"2017Del037_3_509","2017Del037_3","2017Del037",2,4,11,0,0,34
335,"2017Del037_3_509","2017Del037_3","2017Del037",3,4,11,0,0,34
336,"2017Del037_3_509","2017Del037_3","2017Del037",4,4,11,1,0,34
337,"2017Del037_3_509","2017Del037_3","2017Del037",5,4,11,0,0,34
338,"2017Del037_3_509","2017Del037_3","2017Del037",6,4,11,0,0,34
339,"2017Del037_3_509","2017Del037_3","2017Del037",7,4,11,0,0,34
340,"2017Del037_3_509","2017Del037_3","2017Del037",8,4,11,0,0,34
341,"2017Del037_3_509","2017Del037_3","2017Del037",9,4,11,0,0,34
342,"2017Del037_3_509","2017Del037_3","2017Del037",10,4,11,0,0,34
343,"2017Del037_3_509","2017Del037_3","2017Del037",11,4,11,0,0,34
344,"2017Del037_3_510","2017Del037_3","2017Del037",0,2,10,0,1,36
345,"2017Del037_3_510","2017Del037_3","2017Del037",1,2,10,0,1,36
346,"2017Del037_3_510","2017Del037_3","2017Del037",2,2,10,1,1,36
347,"2017Del037_3_510","2017Del037_3","2017Del037",3,2,10,0,1,36
348,"2017Del037_3_510","2017Del037_3","2017Del037",4,2,10,0,1,36
349,"2017Del037_3_510","2017Del037_3","2017Del037",5,2,10,0,1,36
350,"2017Del037_3_510","2017Del037_3","2017Del037",6,2,10,0,1,36
351,"2017Del037_3_510","2017Del037_3","2017Del037",7,2,10,0,1,36
352,"2017Del037_3_510","2017Del037_3","2017Del037",8,2,10,0,1,36
353,"2017Del037_3_510","2017Del037_3","2017Del037",9,2,10,0,1,36
354,"2017Del037_3_510","2017Del037_3","2017Del037",10,2,10,0,1,36
355,"2017Del037_3_512","2017Del037_3","2017Del037",0,1,10,0,0,36
356,"2017Del037_3_512","2017Del037_3","2017Del037",1,1,10,1,0,36
